accuracy_all,accuracy_mean,accuracy_std,average_precision_all,average_precision_mean,average_precision_std,average_recall_all,average_recall_mean,average_recall_std,balanced_accuracy_all,balanced_accuracy_mean,balanced_accuracy_std,features,features_kind,features_name,method,precision_cancer_all,precision_cancer_mean,precision_cancer_std,precision_normal_all,precision_normal_mean,precision_normal_std,recall_cancer_all,recall_cancer_mean,recall_cancer_std,recall_normal_all,recall_normal_mean,recall_normal_std
[0.65238095 0.65238095 0.58571429],0.63015873015873,0.03142696805273547,[0.65238095 0.65238095 0.58571429],0.63015873015873,0.03142696805273547,[0.65238095 0.65238095 0.58571429],0.63015873015873,0.03142696805273547,[0.65266159 0.67512486 0.58998917],0.6392585413752013,0.03602548193919927,['thre=0.0001'],single_th,Th_0,RandForest,[0.64908129 0.66797096 0.58317293],0.6334083944331979,0.03634928861440761,[0.65982684 0.68060737 0.5964294 ],0.6456212045981867,0.035803470297106406,[0.67666895 0.70343191 0.61319925],0.664433367987727,0.03783970896391372,[0.62865424 0.64681781 0.56677909],0.6140837147626756,0.034261491748947534
[0.8047619  0.77142857 0.75714286],0.7777777777777778,0.019952071571391315,[0.8047619  0.77142857 0.75714286],0.7777777777777778,0.019952071571391315,[0.8047619  0.77142857 0.75714286],0.7777777777777778,0.019952071571391315,[0.80587026 0.78065627 0.75931164],0.7819460540904881,0.01902934547489664,['thre=0.001'],single_th,Th_1,RandForest,[0.79782277 0.77349698 0.75303999],0.7747865799117649,0.018305218255583323,[0.82139683 0.77251716 0.75945029],0.7844547600886272,0.026661119197654935,[0.82223741 0.78523696 0.7762995 ],0.7945912902849234,0.019886353404936552,[0.78950311 0.77607557 0.74232377],0.7693008178960529,0.019847675010687713
[0.81428571 0.81904762 0.8047619 ],0.8126984126984128,0.0059391387091649655,[0.81428571 0.81904762 0.8047619 ],0.8126984126984128,0.0059391387091649655,[0.81428571 0.81904762 0.8047619 ],0.8126984126984128,0.0059391387091649655,[0.81606165 0.82371173 0.80026365],0.8133456751063989,0.00976338142603169,['thre=0.01'],single_th,Th_2,RandForest,[0.83160356 0.80344589 0.79904104],0.8113634967655697,0.014424419738365175,[0.80509864 0.8253756  0.8013184 ],0.8105975473701951,0.010563010272056307,[0.79309638 0.84368256 0.80744236],0.8147404320841974,0.021286724881404005,[0.83902692 0.80374089 0.79308495],0.8119509181286002,0.019633635850989792
[0.85714286 0.85714286 0.85238095],0.8555555555555555,0.002244783432338238,[0.85714286 0.85714286 0.85238095],0.8555555555555555,0.002244783432338238,[0.85714286 0.85714286 0.85238095],0.8555555555555555,0.002244783432338238,[0.86016845 0.85811858 0.86085117],0.8597127365761771,0.0011611826821523502,['thre=0.1'],single_th,Th_3,RandForest,[0.85778092 0.85364596 0.8521721 ],0.8545329936611402,0.002374144867766484,[0.87197178 0.86011106 0.86214631],0.8647430490121296,0.00517857384219137,[0.87012987 0.86866362 0.86561654],0.8681366765877468,0.0018798554592363767,[0.85020704 0.84757355 0.8560858 ],0.8512887965646074,0.0035583007999386773
[0.71904762 0.7047619  0.6952381 ],0.7063492063492062,0.0097847841316968,[0.71904762 0.7047619  0.6952381 ],0.7063492063492062,0.0097847841316968,[0.71904762 0.7047619  0.6952381 ],0.7063492063492062,0.0097847841316968,[0.71813273 0.69359593 0.70543976],0.7057228085624909,0.010019107759372103,['thre=0.2'],single_th,Th_4,RandForest,[0.7058592  0.66699872 0.69446617],0.6891080291848591,0.016310862939988402,[0.74701691 0.73206127 0.71078561],0.7299545952295312,0.014866189627507015,[0.76295284 0.7230812  0.72588972],0.7373079188451378,0.01816990762795421,[0.67331263 0.66411066 0.6849898 ],0.6741376982798438,0.008543816714720936
[0.64761905 0.61904762 0.63333333],0.6333333333333333,0.01166423687039609,[0.64761905 0.61904762 0.63333333],0.6333333333333333,0.01166423687039609,[0.64761905 0.61904762 0.63333333],0.6333333333333333,0.01166423687039609,[0.64870962 0.62593684 0.64640114],0.6403491996072872,0.01023456296964359,['thre=0.3'],single_th,Th_5,RandForest,[0.64831441 0.64106004 0.64862175],0.6459987321274171,0.0034944354913028644,[0.65956622 0.60582609 0.65428571],0.63989267483089,0.02418498502216004,[0.66901344 0.58973602 0.66460902],0.641119495674438,0.03637806822906266,[0.6284058  0.66213765 0.62819326],0.6395789035401366,0.015951679866672817
[0.62857143 0.6047619  0.60952381],0.6142857142857143,0.010286889997472792,[0.62857143 0.6047619  0.60952381],0.6142857142857143,0.010286889997472792,[0.62857143 0.6047619  0.60952381],0.6142857142857143,0.010286889997472792,[0.62624843 0.61667123 0.6233906 ],0.6221034184166839,0.004014414670614078,['thre=0.4'],single_th,Th_6,RandForest,[0.63901449 0.61858586 0.64166667],0.6330890060020494,0.01031227328148615,[0.62069743 0.61277778 0.60641026],0.6132951541826671,0.005844175410235535,[0.60943267 0.62333437 0.58842982],0.6070656212789071,0.014347681906708772,[0.64306418 0.6100081  0.65835137],0.6371412155544609,0.020175547778515945
[0.62857143 0.64285714 0.67142857],0.6476190476190476,0.017817416127495034,[0.62857143 0.64285714 0.67142857],0.6476190476190476,0.017817416127495034,[0.62857143 0.64285714 0.67142857],0.6476190476190476,0.017817416127495034,[0.62898818 0.65481409 0.68371384],0.655838703133662,0.02235339955335882,['thre=0.5'],single_th,Th_7,RandForest,[0.62806983 0.65239403 0.67904712],0.6531703262441841,0.020818630635884815,[0.63295506 0.66027387 0.68644855],0.6598924937254457,0.021840292800107877,[0.63135111 0.65856745 0.70203759],0.6639853836780072,0.029110827511954,[0.62662526 0.65106073 0.66539008],0.647692022589317,0.016003936617674065
[0.66666667 0.67619048 0.63809524],0.6603174603174603,0.016187363535215167,[0.66666667 0.67619048 0.63809524],0.6603174603174603,0.016187363535215167,[0.66666667 0.67619048 0.63809524],0.6603174603174603,0.016187363535215167,[0.66705494 0.67194811 0.65409202],0.6643650208418683,0.007533778257991669,['thre=0.6'],single_th,Th_8,RandForest,[0.66517293 0.67889677 0.65603922],0.6667029741800189,0.009394067987770763,[0.67204526 0.66802183 0.65333987],0.6644689857387394,0.008039068330288281,[0.66700843 0.67528353 0.66770175],0.6699979034491083,0.0037482019961757205,[0.66710145 0.66861269 0.64048228],0.6587321382346284,0.012919338387747701
[0.70952381 0.65714286 0.67142857],0.6793650793650793,0.022108552820927132,[0.70952381 0.65714286 0.67142857],0.6793650793650793,0.022108552820927132,[0.70952381 0.65714286 0.67142857],0.6793650793650793,0.022108552820927132,[0.71128033 0.65804437 0.66933714],0.6795539472451124,0.022902750652723396,['thre=0.7'],single_th,Th_9,RandForest,[0.73260504 0.65092499 0.68666632],0.6900654518701362,0.03343225138418228,[0.69700818 0.65821759 0.65378855],0.6696714379116676,0.019414377655260544,[0.66092504 0.65097673 0.65036842],0.6540900644318781,0.004839433687211746,[0.76163561 0.66511201 0.68830587],0.7050178300583468,0.041139345151994425
[0.87142857 0.88095238 0.89047619],0.880952380952381,0.007776157913597363,[0.87142857 0.88095238 0.89047619],0.880952380952381,0.007776157913597363,[0.87142857 0.88095238 0.89047619],0.880952380952381,0.007776157913597363,[0.87299548 0.87334171 0.89873716],0.8816914510622613,0.012053965577538265,"['pca0', 'pca1', 'pca2', 'pca3', 'pca4']",pca,pca,SVM,[0.88087103 0.87611966 0.87399586],0.8769955169990169,0.002874294407903887,[0.87258581 0.89460784 0.90870358],0.891965744206288,0.01486290119780553,[0.86969697 0.87128801 0.92109273],0.8873592364944498,0.02386202535871156,[0.876294   0.87539541 0.87638159],0.876023665630073,0.0004456796288263239
[0.88095238 0.84761905 0.86666667],0.8650793650793651,0.01365448455086135,[0.88095238 0.84761905 0.86666667],0.8650793650793651,0.01365448455086135,[0.88095238 0.84761905 0.86666667],0.8650793650793651,0.01365448455086135,[0.88115566 0.85008473 0.87425483],0.8684984048720755,0.013321737267296992,"['pca0', 'pca1', 'pca2', 'pca3', 'pca4']",pca,pca,MLP,[0.86630605 0.84661085 0.87844232],0.863786403486948,0.013116709847194142,[0.91759834 0.84297287 0.86159859],0.874056603621821,0.03171373757843114,[0.91601732 0.85099266 0.85918546],0.8753984809604679,0.02891594503444084,[0.846294   0.84917679 0.8893242 ],0.8615983287836834,0.019640445892894
[0.85714286 0.86666667 0.86666667],0.8634920634920634,0.004489566864676476,[0.85714286 0.86666667 0.86666667],0.8634920634920634,0.004489566864676476,[0.85714286 0.86666667 0.86666667],0.8634920634920634,0.004489566864676476,[0.85914267 0.86423107 0.87608391],0.8664858831606598,0.007097628765522327,"['pca0', 'pca1', 'pca2', 'pca3', 'pca4']",pca,pca,RandForest,[0.8701991  0.87528559 0.86956026],0.8716816512334078,0.0025616819023926304,[0.8543341  0.85182846 0.86677019],0.8576442474947431,0.0065335861935333864,[0.85151515 0.85840007 0.87254261],0.8608192762145963,0.00875320447096182,[0.86677019 0.87006208 0.87962521],0.8721524901067236,0.005452231776766685
